INCITScode,state,county_or_unit,population
30007,Montana,Broadwater County,5692
30009,Montana,Carbon County,10340
30011,Montana,Carter County,1174
30013,Montana,Cascade County,82384
30015,Montana,Chouteau County,5849
30017,Montana,Custer County,11951
30019,Montana,Daniels County,1791
30021,Montana,Dawson County,9445
30023,Montana,Deer Lodge County,9329
30025,Montana,Fallon County,3079
30027,Montana,Fergus County,11501
30029,Montana,Flathead County,93068
30031,Montana,Gallatin County,94720
30033,Montana,Garfield County,1290
30035,Montana,Glacier County,13739
30037,Montana,Golden Valley County,859
30039,Montana,Granite County,3138
30041,Montana,Hill County,16568
30043,Montana,Jefferson County,11512
30045,Montana,Judith Basin County,2016
30047,Montana,Lake County,29017
30049,Montana,Lewis and Clark County,65338
30051,Montana,Liberty County,2369
30053,Montana,Lincoln County,19460
30055,Montana,McCone County,1709
30057,Montana,Madison County,7712
30059,Montana,Meagher County,1937
30061,Montana,Mineral County,4275
30063,Montana,Missoula County,111807
30065,Montana,Musselshell County,4629
30067,Montana,Park County,15682
30069,Montana,Petroleum County,506
30071,Montana,Phillips County,4179
30073,Montana,Pondera County,6211
30075,Montana,Powder River County,1748
30077,Montana,Powell County,6993
30079,Montana,Prairie County,1179
30081,Montana,Ravalli County,40823
30083,Montana,Richland County,11214
30085,Montana,Roosevelt County,11125
30087,Montana,Rosebud County,9329
30089,Montana,Sanders County,11363
30091,Montana,Sheridan County,3668
30093,Montana,Silver Bow County,34523
30095,Montana,Stillwater County,9318
30097,Montana,Sweet Grass County,3669
30099,Montana,Teton County,6065
30101,Montana,Toole County,5138
30103,Montana,Treasure County,700
30105,Montana,Valley County,7630
30107,Montana,Wheatland County,2134
30109,Montana,Wibaux County,1121
30111,Montana,Yellowstone County,154162
31001,Nebraska,Adams County,31610
31003,Nebraska,Antelope County,6456
31005,Nebraska,Arthur County,458
31007,Nebraska,Banner County,759
31009,Nebraska,Blaine County,482
31011,Nebraska,Boone County,5388
31013,Nebraska,Box Butte County,11305
31015,Nebraska,Boyd County,2032
31017,Nebraska,Brown County,2926
31019,Nebraska,Buffalo County,47893
31021,Nebraska,Burt County,6574
31023,Nebraska,Butler County,8312
31025,Nebraska,Cass County,25357
31027,Nebraska,Cedar County,8711
31029,Nebraska,Chase County,4000
31031,Nebraska,Cherry County,5788
31033,Nebraska,Cheyenne County,10091
31035,Nebraska,Clay County,6392
31037,Nebraska,Colfax County,10425
31039,Nebraska,Cuming County,8996
31041,Nebraska,Custer County,10792
31043,Nebraska,Dakota County,20947
31045,Nebraska,Dawes County,9088
31047,Nebraska,Dawson County,24207
31049,Nebraska,Deuel County,1937
31051,Nebraska,Dixon County,5851
31053,Nebraska,Dodge County,36515
31055,Nebraska,Douglas County,537256
31057,Nebraska,Dundy County,1981
31059,Nebraska,Fillmore County,5698
31061,Nebraska,Franklin County,3085
31063,Nebraska,Frontier County,2709
31065,Nebraska,Furnas County,4865
31067,Nebraska,Gage County,21864
31069,Nebraska,Garden County,1902
31071,Nebraska,Garfield County,2035
31073,Nebraska,Gosper County,1972
31075,Nebraska,Grant County,633
31077,Nebraska,Greeley County,2494
31079,Nebraska,Hall County,60720
31081,Nebraska,Hamilton County,9112
31083,Nebraska,Harlan County,3513
31085,Nebraska,Hayes County,976
31087,Nebraska,Hitchcock County,2872
31089,Nebraska,Holt County,10449
31091,Nebraska,Hooker County,738
31093,Nebraska,Howard County,6355
31095,Nebraska,Jefferson County,7560
31097,Nebraska,Johnson County,5144
31099,Nebraska,Kearney County,6548
31101,Nebraska,Keith County,8130
31103,Nebraska,Keya Paha County,790
31105,Nebraska,Kimball County,3702
31107,Nebraska,Knox County,8565
31109,Nebraska,Lancaster County,297036
31111,Nebraska,Lincoln County,36051
31113,Nebraska,Logan County,763
31115,Nebraska,Loup County,576
31117,Nebraska,McPherson County,526
31119,Nebraska,Madison County,35278
31121,Nebraska,Merrick County,7802
31123,Nebraska,Morrill County,4908
31125,Nebraska,Nance County,3623
31127,Nebraska,Nemaha County,7157
31129,Nebraska,Nuckolls County,4413
31131,Nebraska,Otoe County,15752
31133,Nebraska,Pawnee County,2709
31135,Nebraska,Perkins County,2921
31137,Nebraska,Phelps County,9213
31139,Nebraska,Pierce County,7150
31141,Nebraska,Platte County,32505
31143,Nebraska,Polk County,5275
31145,Nebraska,Red Willow County,11006
31147,Nebraska,Richardson County,8125
31149,Nebraska,Rock County,1411
31151,Nebraska,Saline County,14416
31153,Nebraska,Sarpy County,169331
31155,Nebraska,Saunders County,20929
31157,Nebraska,Scotts Bluff County,36848
31159,Nebraska,Seward County,17089
31161,Nebraska,Sheridan County,5251
31163,Nebraska,Sherman County,3106
31165,Nebraska,Sioux County,1313
31167,Nebraska,Stanton County,6133
31169,Nebraska,Thayer County,5189
31171,Nebraska,Thomas County,699
31173,Nebraska,Thurston County,6895
31175,Nebraska,Valley County,4193
31177,Nebraska,Washington County,20223
31179,Nebraska,Wayne County,9411
31181,Nebraska,Webster County,3688
31183,Nebraska,Wheeler County,759
31185,Nebraska,York County,13883
32001,Nevada,Churchill County,24063
32003,Nevada,Clark County,2027868
32005,Nevada,Douglas County,47118
32007,Nevada,Elko County,52384
32009,Nevada,Esmeralda County,832
32011,Nevada,Eureka County,2076
32013,Nevada,Humboldt County,17363
32015,Nevada,Lander County,6032
32017,Nevada,Lincoln County,5245
32019,Nevada,Lyon County,51557
32021,Nevada,Mineral County,4614
32023,Nevada,Nye County,42297
32027,Nevada,Pershing County,6877
32029,Nevada,Storey County,3942
32031,Nevada,Washoe County,433731
32033,Nevada,White Pine County,10057
32510,Nevada,"Carson City, Consolidated Municipality of",54080
33001,New Hampshire,Belknap County,60179
33003,New Hampshire,Carroll County,47499
33005,New Hampshire,Cheshire County,76610
33007,New Hampshire,Coos County,31997
33009,New Hampshire,Grafton County,89629
33011,New Hampshire,Hillsborough County,403985
33013,New Hampshire,Merrimack County,146849
33015,New Hampshire,Rockingham County,299134
33017,New Hampshire,Strafford County,124593
33019,New Hampshire,Sullivan County,42984
34001,New Jersey,Atlantic County,275862
34003,New Jersey,Bergen County,925328
34005,New Jersey,Burlington County,450838
34007,New Jersey,Camden County,512854
34009,New Jersey,Cape May County,95897
34011,New Jersey,Cumberland County,157332
34013,New Jersey,Essex County,789565
34015,New Jersey,Gloucester County,290265
34017,New Jersey,Hudson County,660282
34019,New Jersey,Hunterdon County,126250
34021,New Jersey,Mercer County,370414
34023,New Jersey,Middlesex County,828919
34025,New Jersey,Monmouth County,629672
34027,New Jersey,Morris County,499397
34029,New Jersey,Ocean County,583414
34031,New Jersey,Passaic County,505672
34033,New Jersey,Salem County,65166
34035,New Jersey,Somerset County,330585
34037,New Jersey,Sussex County,145992
34039,New Jersey,Union County,548256
34041,New Jersey,Warren County,107379
35001,New Mexico,Bernalillo County,674221
35003,New Mexico,Catron County,3607
35005,New Mexico,Chaves County,65823
35006,New Mexico,Cibola County,27335
35007,New Mexico,Colfax County,13094
35009,New Mexico,Curry County,50598
35011,New Mexico,De Baca County,1907
35013,New Mexico,Doña Ana County,213460
35015,New Mexico,Eddy County,55471
35017,New Mexico,Grant County,29328
35019,New Mexico,Guadalupe County,4551
35021,New Mexico,Harding County,693
35023,New Mexico,Hidalgo County,4654
35025,New Mexico,Lea County,68062
35027,New Mexico,Lincoln County,20105
35028,New Mexico,Los Alamos County,17798
35029,New Mexico,Luna County,24659
35031,New Mexico,McKinley County,73308
35033,New Mexico,Mora County,4704
35035,New Mexico,Otero County,65616
35037,New Mexico,Quay County,8662
35039,New Mexico,Rio Arriba County,40072
35041,New Mexico,Roosevelt County,19955
35043,New Mexico,Sandoval County,136575
35045,New Mexico,San Juan County,126503
35047,New Mexico,San Miguel County,28541
35049,New Mexico,Santa Fe County,147423
35051,New Mexico,Sierra County,11572
35053,New Mexico,Socorro County,17584
35055,New Mexico,Taos County,33035
35057,New Mexico,Torrance County,15717
35059,New Mexico,Union County,4370
35061,New Mexico,Valencia County,76284
36001,New York,Albany County,306945
36003,New York,Allegany County,48109
36005,New York,Bronx County,1418733
36007,New York,Broome County,197534
36009,New York,Cattaraugus County,78892
36011,New York,Cayuga County,79477
36013,New York,Chautauqua County,133080
36015,New York,Chemung County,88506
36017,New York,Chenango County,49503
36019,New York,Clinton County,81591
36021,New York,Columbia County,62243
36023,New York,Cortland County,48976
36025,New York,Delaware County,46722
36027,New York,Dutchess County,296916
36029,New York,Erie County,919866
36031,New York,Essex County,38762
36033,New York,Franklin County,51688
36035,New York,Fulton County,54586
36037,New York,Genesee County,59454
36039,New York,Greene County,48455
36041,New York,Hamilton County,4773
36043,New York,Herkimer County,64181
36045,New York,Jefferson County,119504
36047,New York,Kings County,2592149
36049,New York,Lewis County,27149
36051,New York,Livingston County,64705
36053,New York,Madison County,72382
36055,New York,Monroe County,749606
36057,New York,Montgomery County,49897
36059,New York,Nassau County,1352146
36061,New York,New York County,1626159
36063,New York,Niagara County,214249
36065,New York,Oneida County,233585
36067,New York,Onondaga County,468387
36069,New York,Ontario County,109103
36071,New York,Orange County,375592
36073,New York,Orleans County,42235
36075,New York,Oswego County,121165
36077,New York,Otsego County,61683
36079,New York,Putnam County,99645
36081,New York,Queens County,2296175
36083,New York,Rensselaer County,159918
36085,New York,Richmond County,472621
36087,New York,Rockland County,320903
36089,New York,St. Lawrence County,111963
36091,New York,Saratoga County,223865
36093,New York,Schenectady County,155333
36095,New York,Schoharie County,31844
36097,New York,Schuyler County,18460
36099,New York,Seneca County,35409
36101,New York,Steuben County,98650
36103,New York,Suffolk County,1499738
36105,New York,Sullivan County,76665
36107,New York,Tioga County,50243
36109,New York,Tompkins County,103617
36111,New York,Ulster County,180998
36113,New York,Warren County,65337
36115,New York,Washington County,63093
36117,New York,Wayne County,92473
36119,New York,Westchester County,968802
36121,New York,Wyoming County,41531
36123,New York,Yates County,25156
37001,North Carolina,Alamance County,154378
37003,North Carolina,Alexander County,36930
37005,North Carolina,Alleghany County,10939
37007,North Carolina,Anson County,26161
37009,North Carolina,Ashe County,27151
37011,North Carolina,Avery County,17713
37013,North Carolina,Beaufort County,47464
37015,North Carolina,Bertie County,20344
37017,North Carolina,Bladen County,34843
37019,North Carolina,Brunswick County,115301
37021,North Carolina,Buncombe County,247912
37023,North Carolina,Burke County,89842
37025,North Carolina,Cabarrus County,187226
37027,North Carolina,Caldwell County,81990
37029,North Carolina,Camden County,10187
37031,North Carolina,Carteret County,68434
37033,North Carolina,Caswell County,23190
37035,North Carolina,Catawba County,154810
37037,North Carolina,Chatham County,66817
37039,North Carolina,Cherokee County,27218
37041,North Carolina,Chowan County,14726
37043,North Carolina,Clay County,10584
37045,North Carolina,Cleveland County,97047
37047,North Carolina,Columbus County,57246
37049,North Carolina,Craven County,104489
37051,North Carolina,Cumberland County,325871
37053,North Carolina,Currituck County,24396
37055,North Carolina,Dare County,35019
37057,North Carolina,Davidson County,163420
37059,North Carolina,Davie County,41554
37061,North Carolina,Duplin County,60084
37063,North Carolina,Durham County,288133
37065,North Carolina,Edgecombe County,55574
37067,North Carolina,Forsyth County,361220
37069,North Carolina,Franklin County,62260
37071,North Carolina,Gaston County,209420
37073,North Carolina,Gates County,11650
37075,North Carolina,Graham County,8736
37077,North Carolina,Granville County,58275
37079,North Carolina,Greene County,21232
37081,North Carolina,Guilford County,506610
37083,North Carolina,Halifax County,53453
37085,North Carolina,Harnett County,124987
37087,North Carolina,Haywood County,59183
37089,North Carolina,Henderson County,109540
37091,North Carolina,Hertford County,24431
37093,North Carolina,Hoke County,51322
37095,North Carolina,Hyde County,5721
37097,North Carolina,Iredell County,164517
37099,North Carolina,Jackson County,40919
37101,North Carolina,Johnston County,177967
37103,North Carolina,Jones County,10215
37105,North Carolina,Lee County,60266
37107,North Carolina,Lenoir County,58914
37109,North Carolina,Lincoln County,79740
37111,North Carolina,McDowell County,44961
37113,North Carolina,Macon County,33857
37115,North Carolina,Madison County,21022
37117,North Carolina,Martin County,23699
37119,North Carolina,Mecklenburg County,990977
37121,North Carolina,Mitchell County,15328
37123,North Carolina,Montgomery County,27571
37125,North Carolina,Moore County,91587
37127,North Carolina,Nash County,95093
37129,North Carolina,New Hanover County,213267
37131,North Carolina,Northampton County,20839
37133,North Carolina,Onslow County,185220
37135,North Carolina,Orange County,140352
37137,North Carolina,Pamlico County,12953
37139,North Carolina,Pasquotank County,39981
37141,North Carolina,Pender County,55334
37143,North Carolina,Perquimans County,13601
37145,North Carolina,Person County,39276
37147,North Carolina,Pitt County,174263
37149,North Carolina,Polk County,20411
37151,North Carolina,Randolph County,142577
37153,North Carolina,Richmond County,46405
37155,North Carolina,Robeson County,134841
37157,North Carolina,Rockingham County,91878
37159,North Carolina,Rowan County,138323
37161,North Carolina,Rutherford County,66956
37163,North Carolina,Sampson County,64150
37165,North Carolina,Scotland County,36025
37167,North Carolina,Stanly County,60635
37169,North Carolina,Stokes County,46588
37171,North Carolina,Surry County,73050
37173,North Carolina,Swain County,14058
37175,North Carolina,Transylvania County,32903
37177,North Carolina,Tyrrell County,4109
37179,North Carolina,Union County,212756
37181,North Carolina,Vance County,44808
37183,North Carolina,Wake County,974289
37185,North Carolina,Warren County,20575
37187,North Carolina,Washington County,12722
37189,North Carolina,Watauga County,52372
37191,North Carolina,Wayne County,124583
37193,North Carolina,Wilkes County,69023
37195,North Carolina,Wilson County,81667
37197,North Carolina,Yadkin County,38038
37199,North Carolina,Yancey County,17566
38001,North Dakota,Adams County,2360
38003,North Dakota,Barnes County,11190
38005,North Dakota,Benson County,6877
38007,North Dakota,Billings County,874
38009,North Dakota,Bottineau County,6736
38011,North Dakota,Bowman County,3214
38013,North Dakota,Burke County,2306
38015,North Dakota,Burleigh County,88457
38017,North Dakota,Cass County,162829
38019,North Dakota,Cavalier County,3896
38021,North Dakota,Dickey County,5248
38023,North Dakota,Divide County,2314
38025,North Dakota,Dunn County,4162
38027,North Dakota,Eddy County,2404
38029,North Dakota,Emmons County,3486
38031,North Dakota,Foster County,3366
38033,North Dakota,Golden Valley County,1823
38035,North Dakota,Grand Forks County,69179
38037,North Dakota,Grant County,2377
38039,North Dakota,Griggs County,2296
38041,North Dakota,Hettinger County,2660
38043,North Dakota,Kidder County,2428
38045,North Dakota,LaMoure County,4166
38047,North Dakota,Logan County,1946
38049,North Dakota,McHenry County,5922
38051,North Dakota,McIntosh County,2754
38053,North Dakota,McKenzie County,9314
38055,North Dakota,McLean County,9517
38057,North Dakota,Mercer County,8592
38059,North Dakota,Morton County,28990
38061,North Dakota,Mountrail County,9376
38063,North Dakota,Nelson County,3095
38065,North Dakota,Oliver County,1874
38067,North Dakota,Pembina County,7181
38069,North Dakota,Pierce County,4451
38071,North Dakota,Ramsey County,11554
38073,North Dakota,Ransom County,5516
38075,North Dakota,Renville County,2608
38077,North Dakota,Richland County,16339
38079,North Dakota,Rolette County,14582
38081,North Dakota,Sargent County,3890
38083,North Dakota,Sheridan County,1304
38085,North Dakota,Sioux County,4430
38087,North Dakota,Slope County,761
38089,North Dakota,Stark County,28212
38091,North Dakota,Steele County,1960
38093,North Dakota,Stutsman County,21120
38095,North Dakota,Towner County,2317
38097,North Dakota,Traill County,8245
38099,North Dakota,Walsh County,11104
38101,North Dakota,Ward County,67990
38103,North Dakota,Wells County,4206
38105,North Dakota,Williams County,29595
39001,Ohio,Adams County,28105
39003,Ohio,Allen County,105298
39005,Ohio,Ashland County,53043
39007,Ohio,Ashtabula County,99811
39009,Ohio,Athens County,64681
39011,Ohio,Auglaize County,45920
39013,Ohio,Belmont County,69571
39015,Ohio,Brown County,44264
39017,Ohio,Butler County,371272
39019,Ohio,Carroll County,28275
39021,Ohio,Champaign County,39455
39023,Ohio,Clark County,136167
39025,Ohio,Clermont County,200218
39027,Ohio,Clinton County,41945
39029,Ohio,Columbiana County,105893
39031,Ohio,Coshocton County,36760
39033,Ohio,Crawford County,42808
39035,Ohio,Cuyahoga County,1263154
39037,Ohio,Darke County,52376
39039,Ohio,Defiance County,38532
39041,Ohio,Delaware County,184979
39043,Ohio,Erie County,76048
39045,Ohio,Fairfield County,148867
39047,Ohio,Fayette County,28800
39049,Ohio,Franklin County,1212263
39051,Ohio,Fulton County,42488
39053,Ohio,Gallia County,30621
39055,Ohio,Geauga County,93972
39057,Ohio,Greene County,163204
39059,Ohio,Guernsey County,39636
39061,Ohio,Hamilton County,804520
39063,Ohio,Hancock County,75773
39065,Ohio,Hardin County,31641
39067,Ohio,Harrison County,15622
39069,Ohio,Henry County,28092
39071,Ohio,Highland County,43299
39073,Ohio,Hocking County,28665
39075,Ohio,Holmes County,43593
39077,Ohio,Huron County,58889
39079,Ohio,Jackson County,32783
39081,Ohio,Jefferson County,67964
39083,Ohio,Knox County,60810
39085,Ohio,Lake County,229857
39087,Ohio,Lawrence County,61917
39089,Ohio,Licking County,168375
39091,Ohio,Logan County,45481
39093,Ohio,Lorain County,302827
39095,Ohio,Lucas County,436393
39097,Ohio,Madison County,43277
39099,Ohio,Mahoning County,233869
39101,Ohio,Marion County,65905
39103,Ohio,Medina County,174915
39105,Ohio,Meigs County,23496
39107,Ohio,Mercer County,40784
39109,Ohio,Miami County,103439
39111,Ohio,Monroe County,14585
39113,Ohio,Montgomery County,535846
39115,Ohio,Morgan County,14904
39117,Ohio,Morrow County,35033
39119,Ohio,Muskingum County,85231
39121,Ohio,Noble County,14628
39123,Ohio,Ottawa County,41153
39125,Ohio,Paulding County,19254
39127,Ohio,Perry County,35997
39129,Ohio,Pickaway County,56304
39131,Ohio,Pike County,28367
39133,Ohio,Portage County,163862
39135,Ohio,Preble County,41732
39137,Ohio,Putnam County,34088
39139,Ohio,Richland County,121773
39141,Ohio,Ross County,77910
39143,Ohio,Sandusky County,60098
39145,Ohio,Scioto County,78153
39147,Ohio,Seneca County,55914
39149,Ohio,Shelby County,49192
39151,Ohio,Stark County,375432
39153,Ohio,Summit County,541824
39155,Ohio,Trumbull County,206442
39157,Ohio,Tuscarawas County,92672
39159,Ohio,Union County,53306
39161,Ohio,Van Wert County,28459
39163,Ohio,Vinton County,13276
39165,Ohio,Warren County,219169
39167,Ohio,Washington County,61310
39169,Ohio,Wayne County,115071
39171,Ohio,Williams County,37500
39173,Ohio,Wood County,129264
39175,Ohio,Wyandot County,22447
40001,Oklahoma,Adair County,22194
40003,Oklahoma,Alfalfa County,5847
40005,Oklahoma,Atoka County,13898
40007,Oklahoma,Beaver County,5566
40009,Oklahoma,Beckham County,23637
40011,Oklahoma,Blaine County,9720
40013,Oklahoma,Bryan County,44244
40015,Oklahoma,Caddo County,29594
40017,Oklahoma,Canadian County,126123
40019,Oklahoma,Carter County,48491
40021,Oklahoma,Cherokee County,48017
40023,Oklahoma,Choctaw County,15045
40025,Oklahoma,Cimarron County,2335
40027,Oklahoma,Cleveland County,269340
40029,Oklahoma,Coal County,5867
40031,Oklahoma,Comanche County,124937
40033,Oklahoma,Cotton County,6152
40035,Oklahoma,Craig County,14672
40037,Oklahoma,Creek County,70470
40039,Oklahoma,Custer County,29377
40041,Oklahoma,Delaware County,41377
40043,Oklahoma,Dewey County,4844
40045,Oklahoma,Ellis County,4170
40047,Oklahoma,Garfield County,62267
40049,Oklahoma,Garvin County,27334
40051,Oklahoma,Grady County,53685
40053,Oklahoma,Grant County,4528
40055,Oklahoma,Greer County,6171
40057,Oklahoma,Harmon County,2869
40059,Oklahoma,Harper County,3813
40061,Oklahoma,Haskell County,13052
40063,Oklahoma,Hughes County,13823
40065,Oklahoma,Jackson County,26088
40067,Oklahoma,Jefferson County,6432
40069,Oklahoma,Johnston County,10990
40071,Oklahoma,Kay County,45633
40073,Oklahoma,Kingfisher County,15276
40075,Oklahoma,Kiowa County,9341
40077,Oklahoma,Latimer County,10775
40079,Oklahoma,Le Flore County,49774
40081,Oklahoma,Lincoln County,34351
40083,Oklahoma,Logan County,44422
40085,Oklahoma,Love County,9742
40087,Oklahoma,McClain County,36511
40089,Oklahoma,McCurtain County,33065
40091,Oklahoma,McIntosh County,20493
40093,Oklahoma,Major County,7683
40095,Oklahoma,Marshall County,15988
40097,Oklahoma,Mayes County,40804
40099,Oklahoma,Murray County,13712
40101,Oklahoma,Muskogee County,70303
40103,Oklahoma,Noble County,11446
40105,Oklahoma,Nowata County,10555
40107,Oklahoma,Okfuskee County,12377
40109,Oklahoma,Oklahoma County,755245
40111,Oklahoma,Okmulgee County,39438
40113,Oklahoma,Osage County,47987
40115,Oklahoma,Ottawa County,32245
40117,Oklahoma,Pawnee County,16513
40119,Oklahoma,Payne County,79066
40121,Oklahoma,Pittsburg County,44703
40123,Oklahoma,Pontotoc County,37992
40125,Oklahoma,Pottawatomie County,71158
40127,Oklahoma,Pushmataha County,11233
40129,Oklahoma,Roger Mills County,3743
40131,Oklahoma,Rogers County,89044
40133,Oklahoma,Seminole County,25426
40135,Oklahoma,Sequoyah County,41218
40137,Oklahoma,Stephens County,44919
40139,Oklahoma,Texas County,22081
40141,Oklahoma,Tillman County,7711
40143,Oklahoma,Tulsa County,622409
40145,Oklahoma,Wagoner County,75700
40147,Oklahoma,Washington County,51577
40149,Oklahoma,Washita County,11678
40151,Oklahoma,Woods County,9041
40153,Oklahoma,Woodward County,21221
41001,Oregon,Baker County,16018
41003,Oregon,Benton County,86591
41005,Oregon,Clackamas County,388263
41007,Oregon,Clatsop County,37244
41009,Oregon,Columbia County,49344
41011,Oregon,Coos County,62282
41013,Oregon,Crook County,20815
41015,Oregon,Curry County,22339
41017,Oregon,Deschutes County,165954
41019,Oregon,Douglas County,106940
41021,Oregon,Gilliam County,1947
41023,Oregon,Grant County,7283
41025,Oregon,Harney County,7146
41027,Oregon,Hood River County,22675
41029,Oregon,Jackson County,208545
41031,Oregon,Jefferson County,21145
41033,Oregon,Josephine County,83306
41035,Oregon,Klamath County,65910
41037,Oregon,Lake County,7820
41039,Oregon,Lane County,356212
41041,Oregon,Lincoln County,46350
41043,Oregon,Linn County,118765
41045,Oregon,Malheur County,30479
41047,Oregon,Marion County,323614
41049,Oregon,Morrow County,11336
41051,Oregon,Multnomah County,766135
41053,Oregon,Polk County,76794
41055,Oregon,Sherman County,1731
41057,Oregon,Tillamook County,25317
41059,Oregon,Umatilla County,76720
41061,Oregon,Union County,25652
41063,Oregon,Wallowa County,6814
41065,Oregon,Wasco County,25477
41067,Oregon,Washington County,554996
41069,Oregon,Wheeler County,1381
41071,Oregon,Yamhill County,100725
42001,Pennsylvania,Adams County,101546
42003,Pennsylvania,Allegheny County,1231527
42005,Pennsylvania,Armstrong County,68107
42007,Pennsylvania,Beaver County,170115
42009,Pennsylvania,Bedford County,49055
42011,Pennsylvania,Berks County,413521
42013,Pennsylvania,Blair County,126314
42015,Pennsylvania,Bradford County,62316
42017,Pennsylvania,Bucks County,626976
42019,Pennsylvania,Butler County,185476
42021,Pennsylvania,Cambria County,140499
42023,Pennsylvania,Cameron County,4886
42025,Pennsylvania,Carbon County,64786
42027,Pennsylvania,Centre County,155403
42029,Pennsylvania,Chester County,509468
42031,Pennsylvania,Clarion County,39155
42033,Pennsylvania,Clearfield County,81174
42035,Pennsylvania,Clinton County,39954
42037,Pennsylvania,Columbia County,66797
42039,Pennsylvania,Crawford County,87376
42041,Pennsylvania,Cumberland County,241212
42043,Pennsylvania,Dauphin County,270937
42045,Pennsylvania,Delaware County,561973
42047,Pennsylvania,Elk County,31479
42049,Pennsylvania,Erie County,280294
42051,Pennsylvania,Fayette County,134999
42053,Pennsylvania,Forest County,7631
42055,Pennsylvania,Franklin County,152085
42057,Pennsylvania,Fulton County,14670
42059,Pennsylvania,Greene County,37838
42061,Pennsylvania,Huntingdon County,45694
42063,Pennsylvania,Indiana County,87745
42065,Pennsylvania,Jefferson County,44966
42067,Pennsylvania,Juniata County,24768
42069,Pennsylvania,Lackawanna County,213931
42071,Pennsylvania,Lancaster County,529600
42073,Pennsylvania,Lawrence County,89333
42075,Pennsylvania,Lebanon County,135486
42077,Pennsylvania,Lehigh County,355092
42079,Pennsylvania,Luzerne County,320103
42081,Pennsylvania,Lycoming County,116754
42083,Pennsylvania,McKean County,42979
42085,Pennsylvania,Mercer County,115195
42087,Pennsylvania,Mifflin County,46616
42089,Pennsylvania,Monroe County,167148
42091,Pennsylvania,Montgomery County,812376
42093,Pennsylvania,Montour County,18541
42095,Pennsylvania,Northampton County,299791
42097,Pennsylvania,Northumberland County,94076
42099,Pennsylvania,Perry County,45562
42101,Pennsylvania,Philadelphia County,1553165
42103,Pennsylvania,Pike County,56591
42105,Pennsylvania,Potter County,17497
42107,Pennsylvania,Schuylkill County,146920
42109,Pennsylvania,Snyder County,39865
42111,Pennsylvania,Somerset County,76520
42113,Pennsylvania,Sullivan County,6351
42115,Pennsylvania,Susquehanna County,42286
42117,Pennsylvania,Tioga County,42463
42119,Pennsylvania,Union County,44867
42121,Pennsylvania,Venango County,53907
42123,Pennsylvania,Warren County,40885
42125,Pennsylvania,Washington County,208206
42127,Pennsylvania,Wayne County,51548
42129,Pennsylvania,Westmoreland County,362437
42131,Pennsylvania,Wyoming County,28003
42133,Pennsylvania,York County,438965
44001,Rhode Island,Bristol County,49220
44003,Rhode Island,Kent County,165035
44005,Rhode Island,Newport County,82397
44007,Rhode Island,Providence County,628600
44009,Rhode Island,Washington County,126259
45001,South Carolina,Abbeville County,25007
45003,South Carolina,Aiken County,164176
45005,South Carolina,Allendale County,9839
45007,South Carolina,Anderson County,190641
45009,South Carolina,Bamberg County,15430
45011,South Carolina,Barnwell County,22119
45013,South Carolina,Beaufort County,171838
45015,South Carolina,Berkeley County,194020
45017,South Carolina,Calhoun County,15055
45019,South Carolina,Charleston County,372803
45021,South Carolina,Cherokee County,55885
45023,South Carolina,Chester County,32578
45025,South Carolina,Chesterfield County,46197
45027,South Carolina,Clarendon County,34355
45029,South Carolina,Colleton County,37788
45031,South Carolina,Darlington County,67935
45033,South Carolina,Dillon County,31229
45035,South Carolina,Dorchester County,145397
45037,South Carolina,Edgefield County,26436
45039,South Carolina,Fairfield County,23109
45041,South Carolina,Florence County,138326
45043,South Carolina,Georgetown County,60440
45045,South Carolina,Greenville County,474266
45047,South Carolina,Greenwood County,69723
45049,South Carolina,Hampton County,20408
45051,South Carolina,Horry County,289650
45053,South Carolina,Jasper County,26629
45055,South Carolina,Kershaw County,62516
45057,South Carolina,Lancaster County,80458
45059,South Carolina,Laurens County,66229
45061,South Carolina,Lee County,18347
45063,South Carolina,Lexington County,273752
45065,South Carolina,McCormick County,9947
45067,South Carolina,Marion County,32072
45069,South Carolina,Marlboro County,28003
45071,South Carolina,Newberry County,37521
45073,South Carolina,Oconee County,75045
45075,South Carolina,Orangeburg County,90942
45077,South Carolina,Pickens County,119829
45079,South Carolina,Richland County,399256
45081,South Carolina,Saluda County,20091
45083,South Carolina,Spartanburg County,290969
45085,South Carolina,Sumter County,108123
45087,South Carolina,Union County,28030
45089,South Carolina,Williamsburg County,33067
45091,South Carolina,York County,239363
46003,South Dakota,Aurora County,2720
46005,South Dakota,Beadle County,18080
46007,South Dakota,Bennett County,3452
46009,South Dakota,Bon Homme County,7046
46011,South Dakota,Brookings County,32968
46013,South Dakota,Brown County,37907
46015,South Dakota,Brule County,5366
46017,South Dakota,Buffalo County,2024
46019,South Dakota,Butte County,10330
46021,South Dakota,Campbell County,1334
46023,South Dakota,Charles Mix County,9241
46025,South Dakota,Clark County,3610
46027,South Dakota,Clay County,13935
46029,South Dakota,Codington County,27853
46031,South Dakota,Corson County,4215
46033,South Dakota,Custer County,8468
46035,South Dakota,Davison County,19823
46037,South Dakota,Day County,5596
46039,South Dakota,Deuel County,4320
46041,South Dakota,Dewey County,5586
46043,South Dakota,Douglas County,3023
46045,South Dakota,Edmunds County,4041
46047,South Dakota,Fall River County,6839
46049,South Dakota,Faulk County,2386
46051,South Dakota,Grant County,7281
